🎞️电影直播,#genre#
奔跑吧兄弟专场,https://live.ottiptv.cc/huya/29465870
最强大脑专场,https://live.ottiptv.cc/huya/29465880
现在就出发专场,https://live.ottiptv.cc/huya/21059551
脱口秀大会专场,https://live.ottiptv.cc/huya/11352875
新游记专场,https://live.ottiptv.cc/huya/20985794
天赐的声音专场,https://live.ottiptv.cc/huya/30080249
幸福三重奏专场,https://live.ottiptv.cc/huya/29982647
咱们穿越吧专场,https://live.ottiptv.cc/huya/11352907
我是大侦探专场,https://live.ottiptv.cc/huya/20969140
中国好声音专场,https://live.ottiptv.cc/huya/23746691
朋友请吃饭专场,https://live.ottiptv.cc/huya/11352918
12道锋味专场,https://live.ottiptv.cc/huya/30080162
我们的客栈专场,https://live.ottiptv.cc/huya/24609812
变形计专场,https://live.ottiptv.cc/huya/23903164
📺电视剧直播,#genre#
探案剧专区,https://live.ottiptv.cc/huya/20969144
都市剧专区,https://live.ottiptv.cc/huya/29982666
刑侦剧专区,https://live.ottiptv.cc/huya/20969130
家庭剧专区,https://live.ottiptv.cc/huya/11352872
经典剧专区,https://live.ottiptv.cc/huya/11602081
怀旧剧专区,https://live.ottiptv.cc/huya/30080241
僵尸剧专区,https://live.ottiptv.cc/huya/23865148
抗战剧专区,https://live.ottiptv.cc/huya/30080238
台湾剧专区,https://live.ottiptv.cc/huya/11342436
韩国剧专区,https://live.ottiptv.cc/huya/23863787
美国剧专区,https://live.ottiptv.cc/huya/30080138
英国剧专区,https://live.ottiptv.cc/huya/29982659
校园剧专区,https://live.ottiptv.cc/huya/30080228
谍战剧专区,https://live.ottiptv.cc/huya/30080225
古装剧专区,https://live.ottiptv.cc/huya/24314158
乡村剧专区,https://live.ottiptv.cc/huya/30080255
偶像剧专区,https://live.ottiptv.cc/huya/11601964
爱情剧专区,https://live.ottiptv.cc/huya/29982671
搞笑剧专区,https://live.ottiptv.cc/huya/21059634
武侠剧专区,https://live.ottiptv.cc/huya/20985816
穿越剧专区,https://live.ottiptv.cc/huya/26355857
年代剧专区,https://live.ottiptv.cc/huya/20969095
💽纪录片直播,#genre#
幻海航行,http://222.186.39.21:35466/douyu/17105786
碎片记,http://222.186.39.21:35466/douyu/9412981
宇宙视界,http://222.186.39.21:35466/douyu/9498354
宇宙探索飞船,http://222.186.39.21:35466/douyu/9456028
世界未解之谜,http://222.186.39.21:35466/douyu/9369468
贝爷,https://live.ottiptv.cc/huya/20969143
生存记,https://live.ottiptv.cc/huya/20985861
航拍中国专场,https://live.ottiptv.cc/huya/22414123
中国通史,https://live.ottiptv.cc/huya/20985822
云游故宫1,https://live.ottiptv.cc/huya/19743457
云游故宫2,https://live.ottiptv.cc/huya/19743452
🎮游戏直播,#genre#
端游/无畏契约专场,https://live.ottiptv.cc/huya/660679
端游/云顶之弈专场,https://live.ottiptv.cc/huya/24423598
端游/穿越火线专场,https://live.ottiptv.cc/huya/660101
端游/炉石传说专场,https://live.ottiptv.cc/huya/21103932
端游/永劫无间专场,https://live.ottiptv.cc/huya/660115
端游/DOTA2专场,https://live.ottiptv.cc/huya/476318
端游/地下城与勇士专场,https://live.ottiptv.cc/huya/21103948
手游/王者荣耀专场,https://live.ottiptv.cc/huya/660002
手游/天天吃鸡专场,https://live.ottiptv.cc/huya/660004
手游/三角洲行动专场,https://live.ottiptv.cc/huya/29701539
手游/和平精英专场,https://live.ottiptv.cc/huya/660135
手游/英雄联盟专场,https://live.ottiptv.cc/huya/24318577
手游/CF专场,https://live.ottiptv.cc/huya/660102
手游/DNF专场,https://live.ottiptv.cc/huya/29886331
手游/火影忍者专场,https://live.ottiptv.cc/huya/25567648
手游/第5人格专场,https://live.ottiptv.cc/huya/461698
手游/JJ斗地主专场,https://live.ottiptv.cc/huya/30814433
手游/欢乐斗地主专场,https://live.ottiptv.cc/huya/21103928
单机/我的世界专场,https://live.ottiptv.cc/huya/667788
单机/拳皇专场,https://live.ottiptv.cc/huya/17167271
单机/小霸王专场,https://live.ottiptv.cc/huya/24723731
🎧音乐直播,#genre#
周杰伦专场,http://222.186.39.21:35466/douyu/7537296
双笙专场,http://222.186.39.21:35466/douyu/6476693
室外专场,http://222.186.39.21:35466/douyu/9627625
翻唱专场,http://222.186.39.21:35466/douyu/9572351
动漫音乐专场,http://222.186.39.21:35466/douyu/9409703
阿七点歌台,http://222.186.39.21:35466/douyu/3186217
音悦喵点歌台,http://222.186.39.21:35466/douyu/3870925
音乐台长,http://222.186.39.21:35466/douyu/9629943
下饭音乐,http://222.186.39.21:35466/douyu/8661966
音乐WU哥,http://222.186.39.21:35466/douyu/8667755
音乐快斗,http://222.186.39.21:35466/douyu/8324627
蚕豆电台,http://222.186.39.21:35466/douyu/8768792
音乐猛抬头,http://222.186.39.21:35466/douyu/8666105
喵喵音乐台,http://222.186.39.21:35466/douyu/9568091
黑糖音乐秀,http://222.186.39.21:35466/douyu/9560563
荒草音乐,http://222.186.39.21:35466/douyu/8706465
热星音乐菌,http://222.186.39.21:35466/douyu/8405922
音乐FANS小琼,http://222.186.39.21:35466/douyu/8666210
小飞飞流行DJ音乐,http://222.186.39.21:35466/douyu/10469362
小舞点歌台,https://live.ottiptv.cc/huya/15590571
24小时点歌台,https://live.ottiptv.cc/huya/25261191
助眠音乐专场,https://live.ottiptv.cc/huya/21241811
音乐小石榴,https://live.ottiptv.cc/huya/17091681
DJ专场,https://live.ottiptv.cc/huya/20432228
吉他专场,https://live.ottiptv.cc/huya/21241765
24×7音乐,https://live.ottiptv.cc/huya/30483433
轻音乐专场,https://live.ottiptv.cc/huya/26947138
日语专场,https://live.ottiptv.cc/huya/21241795
海选专场,https://live.ottiptv.cc/huya/21241781
🎎动漫直播,#genre#
名侦探柯南,https://live.ottiptv.cc/huya/30080236
火影忍者,https://live.ottiptv.cc/huya/29465866
海贼王,https://live.ottiptv.cc/huya/29982634
精灵宝可梦,https://live.ottiptv.cc/huya/23749096
神奇宝贝,https://live.ottiptv.cc/huya/21241784
数码宝贝,https://live.ottiptv.cc/huya/29941782
宫崎骏,https://live.ottiptv.cc/huya/21059614
钢之炼金术师,https://live.ottiptv.cc/huya/20985859
黑子的篮球,https://live.ottiptv.cc/huya/30080253
瑞克与莫蒂,https://live.ottiptv.cc/huya/29982655
星辰变,https://live.ottiptv.cc/huya/24514506
成龙历险记,https://live.ottiptv.cc/huya/11352946
飞天小女警,https://live.ottiptv.cc/huya/11601958
蜡笔小新,https://live.ottiptv.cc/huya/11352970
樱桃小丸子,https://live.ottiptv.cc/huya/11342394
猫和老鼠,https://live.ottiptv.cc/huya/11352879
七龙珠,https://live.ottiptv.cc/huya/11601966
全职高手,https://live.ottiptv.cc/huya/21059628
哆啦A梦,https://live.ottiptv.cc/huya/11601963
海绵宝宝,https://live.ottiptv.cc/huya/11352919
魔法少女,https://live.ottiptv.cc/huya/21059587
全职猎人,https://live.ottiptv.cc/huya/30080254
四驱兄弟,https://live.ottiptv.cc/huya/11352922
一人之上,https://live.ottiptv.cc/huya/11602065
头文字D,https://live.ottiptv.cc/huya/11352889
网球王子,https://live.ottiptv.cc/huya/11352882
玩具总动员,https://live.ottiptv.cc/huya/30080256
通灵王,https://live.ottiptv.cc/huya/20969112
游戏王,https://live.ottiptv.cc/huya/20985856
男子高中生的日常,https://live.ottiptv.cc/huya/20985858
元气少女缘结神,https://live.ottiptv.cc/huya/11352967
全职法师,https://live.ottiptv.cc/huya/26355772
尸兄,https://live.ottiptv.cc/huya/26355846
大头儿子小头爸爸,https://live.ottiptv.cc/huya/20969114
哪吒传奇,https://live.ottiptv.cc/huya/26355782
龙族,https://live.ottiptv.cc/huya/23865086
间谍过家家,https://live.ottiptv.cc/huya/30080149
罗小黑战记,https://live.ottiptv.cc/huya/24314159
圣斗士星矢,https://live.ottiptv.cc/huya/10396612
葫芦兄弟,https://live.ottiptv.cc/huya/20985834
咒术回战,https://live.ottiptv.cc/huya/21059561
反叛的鲁路修,https://live.ottiptv.cc/huya/20969113
超自然武装当哒当,https://live.ottiptv.cc/huya/20985850
新世纪福音战士,https://live.ottiptv.cc/huya/20985862
足球小将,https://live.ottiptv.cc/huya/25725150
轻羽飞扬,https://live.ottiptv.cc/huya/30805998
虫师,https://live.ottiptv.cc/huya/21241791
魔神英雄传,https://live.ottiptv.cc/huya/21241839
埋堆堆直播1,https://live.ottiptv.cc/huya/23734246
埋堆堆直播2,https://live.ottiptv.cc/huya/23734256
国产动漫系列,https://live.ottiptv.cc/huya/11352869
🍿短剧直播,#genre#
陈翔六点半,https://live.ottiptv.cc/huya/11274154
